Name,Draft,Round,Pick,Position(s),Handedness,Height,Weight,DOB,City of Birth,Count(r)y of Birth,College,Drafted By
Jimmy Butler,2011,1,30,SF,Right,6'7,230,14/09/1989,Houston,Texas,Marquette,Chicago Bulls,butleji01
Jamal Cain,0,0,0,PF,Right,6'7,191,20/03/1999,Pontiac,Michigan,Oakland/Marquette,Undrafted,cainja01
Kentavious Caldwell-Pope,2013,1,8,SG,Right,6'5,204,18/02/1993,Thomaston,Georgia,Georgia,Detroit Pistons,caldwke01
Toumani Camara,2023,2,22,PF,Left,6'8,220,08/05/2000,Brussels,Belgium,Dayton,Phoenix Suns,camarto01
Clint Capela,2014,1,25,C,Right,6'10,240,18/05/1994,Geneva,Switzerland,None,Houston Rockets,capelca01
Jevon Carter,2018,2,2,PG,Right,6'1,200,14/09/1995,Maywood,Illinois,West Virginia,Memphis Grizzlies,carteje01
Wendell Carter Jr.,2018,1,7,C PF,Right,6'10,270,16/04/1999,Atlanta,Georgia,Duke,Chicago Bulls,cartewe01
D.J. Carton,0,0,0,SG,Left,6'2,200,05/08/2000,Pineville,North Carolina,Marquette/Ohio State,Undrafted,cartodj01
Alex Caruso,0,0,0,PG SG,Right,6'5,186,28/02/1994,College Station,Texas,Texas A,Undrafted,carusal01
Colin Castleton,0,0,0,C PF,Right,6'11,250,25/05/2000,Pembroke Pines,Florida,Florida/Michigan,Undrafted,castlco01
Malcolm Cazalon,0,0,0,SG,Left,6'6,212,27/08/2001,Roanne,France,None,Undrafted,cazalma01
Julian Champagnie,0,0,0,SF,Right,6'8,220,29/06/2001,Brooklyn,New York,St John's,Undrafted,champju02
Justin Champagnie,0,0,0,SF,Right,6'6,200,29/06/2001,Brooklyn,New York,Pitt,Undrafted,champju01
Max Christie,2016,1,8,PF,Right,6'9,240,02/07/1997,Sacramento,California,Washington,Sacramento Kings,chrisma01
Sidy Cissoko,2023,2,14,SF,Right,6'8,200,02/04/2004,Saint,France,None,San Antonio Spurs,cissosi01
Brandon Clark,2019,1,21,PF,Right,6'8,215,19/09/1996,Vancouver,British Columbia,Gonzaga/San Jose State,Oklahoma City Thunder,clarkbr01
Jordan Clarkson,2014,2,16,SG PG,Right,6'3,194,07/06/1992,Tampa,Florida,Missouri/Tulsa,Washington Wizards,clarkjo01
Nic Claxton,2019,2,1,C,Left,6'11,215,17/04/1999,Greenville,South Carolina,Georgia,Brooklyn Nets,claxtni01
Noah Clowney,2023,1,21,PF,Right,6'10,210,14/07/2004,Spartanburg,South Carolina,Alabama,Brooklyn Nets,clownno01
Amir Coffey,0,0,0,SG SF,Left,6'7,210,17/06/1997,Hopkins,Minnesota,Minnesota,Undrafted,coffeam01
John Collins,2017,1,19,PF,Right,6'9,235,23/09/1997,Layton,Utah,Wake Forest,Atlanta Hawks,collijo01
Zach Collins,2017,1,10,C PF,Right,6'11,250,19/11/1997,Las Vegas,Nevada,Gonzaga,Sacramento Kings,colliza01
Mike Conley,2007,1,4,PG,Left,6'0,175,11/10/1987,Fayetteville,Arkansas,Ohio State,Memphis Grizzlies,conlemi01
Pat Connaughton,2015,2,11,SG SF,Right,6'5,209,06/01/1993,Arlington,Massachusetts,Notre Dame,Brooklyn Nets,connapa01
Bilal Coulibaly,2023,1,7,SF,Right,6'6,195,26/07/2004,Saint,France,None,Indiana Pacers,coulibi01
Ricky Council IV,0,0,0,SG,Right,6'6,205,03/08/2001,Durham,North Carolina,Arkansas/Wichita State,Undrafted,couciri01
Robert Covington,0,0,0,SF,Right,6'7,209,14/12/1990,Bellwood,Illinois,Tennessee State,Undrafted,covinro01
Torrey Craig,0,0,0,SF PF,Right,6'7,221,19/12/1990,Columbia,South Carolina,USC Upstate,Undrafted,craigto01
Jae Crowder,2012,2,4,SF PF,Right,6'6,235,06/07/1990,Villa Rica,Georgia,Marquette,Cleveland Cavaliers,crowdja01
Jalen Crutcher,0,0,0,PG,Right,6'2,175,18/07/1999,Memphis,Tennessee,Dayton,Undrafted,crutcja01
Cade Cunningham,2021,1,1,PG SG,Right,6'6,220,25/09/2001,Arlington,Texas,Oklahoma State,Detroit Pistons,cunnica01
Seth Curry,0,0,0,SG PG,Right,6'1,185,23/08/1990,Charlotte,North Carolina,Duke/Liberty,Undrafted,curryse01
Steph Curry,2009,1,7,PG,Right,6'2,185,14/03/1988,Akron,Ohio,Davidson,Golden State Warriors,curryst01
Dyson Daniels,2022,1,8,PG,Right,6'8,199,17/03/2003,Bendigo,Australia,None,New Orleans Pelicans,daniedy01
Anthony Davis,2012,1,1,C PF,Right,6'10,253,11/03/1993,Chicago,Illinois,Kentucky,New Orleans Hornets,davisan02
Johnny Davis,1976,2,5,SG PG,Right,6'2,170,21/10/1955,Detroit,Michigan,Dayton,Portland Trail Blazers,davisjo06
JD Davison,2022,2,23,SG,Right,6'1,195,03/10/2002,Montgomery,Alabama,Alabama,Boston Celtics,davisjd01
DeMar DeRozan,2009,1,9,SG,Right,6'6,220,07/08/1989,Compton,California,USC,Toronto Raptors,deronde01
Donte DiVincenzo,2018,1,17,SG,Right,6'4,203,31/01/1997,Newark,Delaware,Villanova,Milwaukee Bucks,divindo01
Moussa Diabate,2022,2,13,C,Right,6'11,210,21/01/2002,Paris,France,Michigan,Los Angeles Clippers,diabamo01
Mamadi Diakite,0,0,0,PF C,Right,6'9,228,21/01/1997,Conakry,Guinea,Virginia,Undrafted,diakima01
Hamidou Diallo,2018,2,15,SF SG,Right,6'5,202,31/07/1998,Queens,New York,Kentucky,Brooklyn Nets,diallha01
Gradey Dick,2023,1,13,SG,Right,6'6,205,20/11/2003,Wichita,Kansas,Kansas,Toronto Raptors,dickgr01
Ousmane Dieng,2022,1,11,PF,Right,6'10,216,21/05/2003,Villeneuve,France,None,New York Knicks,diengou01
Spencer Dinwiddie,2014,2,8,PG SG,Right,6'5,215,06/04/1993,Los Angeles,California,Colorado,Detroit Pistons,dinwisp01
Luka Doncic,2018,1,3,PG SG,Right,6'7,230,28/02/1999,Ljubljana,Slovenia,None,Atlanta Hawks,doncilu01
Luguentz Dort,0,0,0,SF SG,Right,6'3,215,19/04/1999,Montreal,Quebec,Arizona State,Undrafted,dortlu01
Ayo Dosunmu,2021,2,8,SG,Right,6'5,200,17/01/2000,Chicago,Illinois,Illinois,Chicago Bulls,dosunay01
Jeff Dowtin,0,0,0,PG,Right,6'3,185,10/05/1997,Upper Marlboro,Maryland,Rhode Island,Undrafted,dowtije01
Henri Drell,0,0,0,SF,Right,6'9,187,25/04/2000,Tallinn,Estonia,None,Undrafted,drellhe01
Andre Drummond,2012,1,9,C,Right,6'11,279,10/08/1993,Mount Vernon,New York,UConn,Detroit Pistons,drumman01
Chris Duarte,2021,1,13,SF SG,Right,6'6,190,13/06/1997,Puerto Plata,Dominican Republic,Oregon,Indiana Pacers,duartch01
David Duke Jr.,0,0,0,SG PG,Right,6'5,205,13/10/1999,Providence,Rhode Island,Providence,Undrafted,dukeda01
Kris Dunn,2016,1,5,PG,Right,6'3,205,18/03/1994,New London,Connecticut,Providence,Minnesota Timberwolves,dunnkr01
Kevin Durant,2007,1,2,SF,Right,6'11,240,29/09/1988,Washington,District of Columbia,Texas,Seattle SuperSonics,duranke01
Jalen Duren,2022,1,13,C,Right,6'10,250,18/11/2003,New Castle,Delaware,Memphis,Charlotte Hornets,durenja01
Tari Eason,2022,1,17,PF,Right,6'8,216,10/05/2001,Portsmouth,Virginia,Cincinnati/LSU,Houston Rockets,easonta01
Anthony Edwards,2020,1,1,SG,Right,6'4,225,05/08/2001,Atlanta,Georgia,Georgia,Minnesota Timberwolves,edwaran01
Kessler Edwards,1988,1,20,SG PG,Right,6'3,190,30/10/1965,Cleveland Heights,Ohio,DePaul,Miami Heat,edwarke01
Keon Ellis,0,0,0,SG,Right,6'6,175,08/01/2000,Eustis,Florida,Alabama/Florida SouthWestern State College,Undrafted,elliske01
Joel Embiid,2014,1,3,C,Right,7'0,280,16/03/1994,Yaounde,Cameroon,Kansas,Philadelphia 76ers,embiijo01
Drew Eubanks,0,0,0,C PF,Right,6'9,245,01/02/1997,Starkville,Mississippi,Oregon State,Undrafted,eubandr01
Tosan Evbuomwan,0,0,0,SF,Right,6'8,219,16/02/2001,Newcastle,United Kingdom,Princeton,Undrafted,evbuoto01
Dante Exum,2014,1,5,PG SG,Right,6'5,214,13/07/1995,Melbourne,Australia,None,Utah Jazz,exumda01
Bruno Fernando,2019,2,4,C,Right,6'9,240,15/08/1998,Luanda,Angola,Maryland,Philadelphia 76ers,fernabr01
Dorian Finney-Smith,0,0,0,PF SF,Right,6'7,220,04/05/1993,Portsmouth,Virginia,Florida,Undrafted,finnedo01
Adam Flagler,0,0,0,SG,Right,6'3,185,01/12/1999,Duluth,Georgia,Presbyterian College/Baylor,Undrafted,flaglad01
Malachi Flynn,2020,1,29,PG,Right,6'1,175,10/05/1998,Tacoma,Washington,San Diego State/Washington State,Toronto Raptors,flynnma01
Simone Fontecchio,0,0,0,SF,Right,6'8,209,09/12/1995,Pescara,Italy,None,Undrafted,fontesi01
Jordan Ford,0,0,0,PG,Right,6'1,175,26/05/1998,Citrus Heights,California,Saint Mary,Undrafted,fordjo01
Trent Forrest,0,0,0,SG PG,Right,6'4,210,12/06/1998,Dothan,Alabama,Florida State,Undrafted,forretr01
De'Aaron Fox,2017,1,5,PG,Left,6'3,185,20/12/1997,New Orleans,Louisiana,Kentucky,Sacramento Kings,foxde01
Javon Freeman-Liberty,0,0,0,PG,Right,6'4,180,20/10/1999,Chicago,Illinois,DePaul/Valparaiso,Undrafted,freemja01
Alex Fudge,0,0,0,SF,Right,6'8,200,06/05/2003,Jacksonville,Florida,LSU/Florida,Undrafted,fudgeal01
Markelle Fultz,2017,1,1,PG SG,Right,6'4,209,29/05/1998,Upper Marlboro,Maryland,Washington,Philadelphia 76ers,fultzma01
Andrew Funk,0,0,0,SG,Right,6'5,200,21/09/1999,Warrington,Pennsylvania,Penn State/Bucknell,Undrafted,funkan01
Wenyen Gabriel,0,0,0,PF C,Right,6'9,205,26/03/1997,Khartoum,Sudan,Kentucky,Undrafted,gabriwe01
Daniel Gafford,2019,2,8,C PF,Right,6'10,234,01/10/1998,El Dorado,Arkansas,Arkansas,Chicago Bulls,gaffoda01
Danilo Gallinari,2008,1,6,SF,Right,6'10,233,08/08/1988,Sant,Italy,None,New York Knicks,gallida01
Darius Garland,2019,1,5,PG SG,Right,6'1,192,26/01/2000,Gary,Indiana,Vanderbilt,Cleveland Cavaliers,garlada01
Usman Garuba,2021,1,23,PF C,Right,6'8,220,09/03/2002,Azuqueca de Henares,Spain,None,Houston Rockets,garubus01
Luka Garza,2021,2,22,C,Right,6'10,235,27/12/1998,Washington,District of Columbia,Iowa,Detroit Pistons,garzalu01
Kaiser Gates,0,0,0,SF,Right,6'8,217,08/11/1996,Atlanta,Georgia,Xavier,Undrafted,gateska01
Keyonte George,2023,1,16,PG SG,Right,6'4,185,08/11/2003,Lewisville,Texas,Baylor,Utah Jazz,georgke01
Paul George,2010,1,10,SF,Right,6'8,220,02/05/1990,Palmdale,California,Fresno State,Indiana Pacers,georgpa01
Taj Gibson,2009,1,26,PF C,Right,6'9,232,24/06/1985,Brooklyn,New York,USC,Chicago Bulls,gibsota01
Josh Giddey,2021,1,6,SG,Right,6'8,210,10/10/2002,Melbourne,Australia,None,Oklahoma City Thunder,giddejo01
Harry Giles,2017,1,20,C PF,Right,6'11,240,22/04/1998,Winston,North Carolina,Duke,Portland Trail Blazers,gilesha01
Shai Gilgeous-Alexander,2018,1,11,PG SG,Right,6'6,180,12/07/1998,Toronto,Ontario,Kentucky,Charlotte Hornets,gilgesh01
Anthony Gill,0,0,0,PF,Right,6'7,230,17/10/1992,High Point,North Carolina,South Carolina/Virginia,Undrafted,gillan01
Jacob Gilyard,0,0,0,PG,Right,5'9,160,14/07/1998,Kansas City,Missouri,Richmond,Undrafted,gilyaja01
Rudy Gobert,2013,1,27,C,Right,7'1,258,26/06/1992,Saint,France,None,Denver Nuggets,goberru01
Jordan Goodwin,0,0,0,PG SG,Right,6'3,200,23/10/1998,Centreville,Illinois,Saint Louis,Undrafted,goodwjo01
Aaron Gordon,2014,1,4,PF SF,Right,6'8,235,16/09/1995,San Jose,California,Arizona,Orlando Magic,gordoaa01
Eric Gordon,2008,1,7,SG SF,Right,6'3,215,25/12/1988,Indianapolis,Indiana,Indiana,Los Angeles Clippers,gordoer01
Devonte' Graham,2018,2,4,PG,Right,6'1,195,22/02/1995,Raleigh,North Carolina,Kansas,Atlanta Hawks,grahade01
Jerami Grant,2014,2,9,PF SF,Right,6'7,210,12/03/1994,Portland,Oregon,Syracuse,Philadelphia 76ers,grantje01
RaiQuan Gray,2021,2,29,PF,Right,6'8,260,07/07/1999,Fort Lauderdale,Florida,Florida State,Brooklyn Nets,grayra01
A.J. Green,0,0,0,SG,Right,6'4,200,27/09/1999,Cedar Falls,Iowa,University of Northern Iowa,Undrafted,greenaj01
Danny Green,2009,2,16,SG SF,Right,6'6,215,22/06/1987,North Babylon,New York,UNC,Cleveland Cavaliers,greenda02
Draymond Green,2012,2,5,PF SF,Right,6'6,230,04/03/1990,Saginaw,Michigan,Michigan State,Golden State Warriors,greendr01
Jalen Green,2021,1,2,SG,Right,6'4,178,09/02/2002,Merced,California,None,Houston Rockets,greenja05
Javonte Green,0,0,0,SF SG,Right,6'4,205,23/07/1993,Petersburg,Virginia,Radford,Undrafted,greenja02
Jeff Green,1963,0,7,SG,Right,6'5,195,22/11/1941,Unknown,Unknown,Maryland,Philadelphia 76ers,greenje02
Josh Green,2020,1,18,SG,Right,6'5,200,16/11/2000,Sydney,Australia,Arizona,Dallas Mavericks,greenjo02
AJ Griffin,2022,1,16,SF,Right,6'6,222,25/08/2003,Dallas,Texas,Duke,Atlanta Hawks,griffaj01
Quentin Grimes,2021,1,25,SG,Right,6'5,205,08/05/2000,Houston,Texas,Houston/Kansas,Los Angeles Clippers,grimequ01
Mouhamadou Gueye,0,0,0,PF SF,Right,6'9,210,06/07/1998,Staten Island,New York,Monroe Community College/Stony Brook University,Undrafted,gueyemo01
Mouhamed Gueye,2023,2,9,PF,Right,6'11,210,09/11/2002,Dakar,Senegal,Washington State,Charlotte Hornets,gueyemo02
Rui Hachimura,2019,1,9,PF,Right,6'8,230,08/02/1998,Toyama,Japan,Gonzaga,Washington Wizards,hachiru01
Ashton Hagans,0,0,0,PG,Right,6'3,190,08/07/1999,Cartersville,Georgia,Kentucky,Undrafted,haganas01
Tyrese Haliburton,2020,1,12,PG SG,Right,6'5,185,29/02/2000,Oshkosh,Wisconsin,Iowa State,Sacramento Kings,halibty01
R.J. Hampton,2020,1,24,SG PG,Right,6'4,175,07/02/2001,Dallas,Texas,None,Milwaukee Bucks,hamptrj01
Tim Hardaway Jr.,2013,1,24,SG SF,Right,6'5,205,16/03/1992,Orinda,California,Michigan,New York Knicks,hardati02
James Harden,2009,1,3,PG SG,Left,6'5,220,26/08/1989,Los Angeles,California,Arizona State,Oklahoma City Thunder,hardeja01
Jaden Hardy,1978,1,11,PF SF,Right,6'8,220,01/12/1956,Knoxville,Alabama,San Francisco,New Orleans Jazz,hardyja01
Ron Harper Jr.,0,0,0,PF,Right,6'6,245,12/04/2000,Paterson,New Jersey,Rutgers University,Undrafted,harpero02
Gary Harris,2014,1,19,SG,Right,6'4,210,14/09/1994,Fishers,Indiana,Michigan State,Chicago Bulls,harriga01
Joe Harris,2014,2,3,SG SF,Right,6'6,220,06/09/1991,Chelan,Washington,Virginia,Cleveland Cavaliers,harrijo01
Kevon Harris,0,0,0,SG,Right,6'5,216,24/06/1997,Ellenwood,Georgia,Stephen F,Undrafted,harrike01
Tobias Harris,2011,1,19,PF SF,Right,6'8,226,15/07/1992,Islip,New York,Tennessee,Charlotte Bobcats,harrito02
Shaquille Harrison,0,0,0,SG PG,Left,6'4,190,06/10/1993,Kansas City,Missouri,Tulsa,Undrafted,harrish01
Josh Hart,2017,1,30,SF SG,Right,6'4,215,06/03/1995,Silver Spring,Maryland,Villanova,Utah Jazz,hartjo01
Isaiah Hartenstein,2017,2,13,C PF,Left,7'0,250,05/05/1998,Eugene,Oregon,None,Houston Rockets,harteis01
Sam Hauser,0,0,0,SF,Right,6'8,215,08/12/1997,Green Bay,Wisconsin,Marquette/Virginia,Undrafted,hausesa01
Jordan Hawkins,2023,1,14,SG,Right,6'5,195,29/04/2002,Gaithersburg,Maryland,UConn,New Orleans Pelicans,hawkijo01
Jaxson Hayes,2003,1,10,SF SG,Right,6'7,220,09/08/1981,Atlanta,Georgia,Georgia/Western Carolina University,Washington Wizards,hayesja01
Killian Hayes,2020,1,7,PG,Left,6'5,195,27/07/2001,Lakeland,Florida,None,Detroit Pistons,hayeski01
Gordon Hayward,2010,1,9,SF PF,Right,6'7,225,23/03/1990,Indianapolis,Indiana,Butler,Utah Jazz,haywago01
